,district,building_type,heat_source,value
5340,"Stuttgart, Kreisfreie Stadt",100,0,0.5452
5341,"Stuttgart, Kreisfreie Stadt",100,4,0.1697
5342,"Stuttgart, Kreisfreie Stadt",100,2,0.3395
5343,"Stuttgart, Kreisfreie Stadt",100,3,0.0944
5344,"Stuttgart, Kreisfreie Stadt",100,1,0.4052
5345,"Stuttgart, Kreisfreie Stadt",11,0,0.5279
5346,"Stuttgart, Kreisfreie Stadt",38,0,0.2751
5347,"Stuttgart, Kreisfreie Stadt",9,0,0.3645
5348,"Stuttgart, Kreisfreie Stadt",1,0,0.7692
5349,"Stuttgart, Kreisfreie Stadt",6,0,0.664
5350,"Stuttgart, Kreisfreie Stadt",11,4,0.1548
5351,"Stuttgart, Kreisfreie Stadt",38,4,0.0771
5352,"Stuttgart, Kreisfreie Stadt",9,4,0.1064
5353,"Stuttgart, Kreisfreie Stadt",1,4,0.2718
5354,"Stuttgart, Kreisfreie Stadt",6,4,0.1957
5355,"Stuttgart, Kreisfreie Stadt",11,2,0.3287
5356,"Stuttgart, Kreisfreie Stadt",38,2,0.1807
5357,"Stuttgart, Kreisfreie Stadt",9,2,0.2234
5358,"Stuttgart, Kreisfreie Stadt",1,2,0.485
5359,"Stuttgart, Kreisfreie Stadt",6,2,0.4057
5360,"Stuttgart, Kreisfreie Stadt",11,3,0.0849
5361,"Stuttgart, Kreisfreie Stadt",38,3,0.0274
5362,"Stuttgart, Kreisfreie Stadt",9,3,0.0524
5363,"Stuttgart, Kreisfreie Stadt",1,3,0.1514
5364,"Stuttgart, Kreisfreie Stadt",6,3,0.1243
5365,"Stuttgart, Kreisfreie Stadt",11,1,0.3496
5366,"Stuttgart, Kreisfreie Stadt",38,1,0.1491
5367,"Stuttgart, Kreisfreie Stadt",9,1,0.2346
5368,"Stuttgart, Kreisfreie Stadt",1,1,0.644
5369,"Stuttgart, Kreisfreie Stadt",6,1,0.5249
5370,Böblingen,100,0,0.6385
5371,Böblingen,11,3,0.0571
5372,Böblingen,6,3,0.0893
5373,Böblingen,38,3,0.0422
5374,Böblingen,1,1,0.728
5375,Böblingen,9,1,0.2642
5376,Böblingen,11,1,0.4115
5377,Böblingen,6,1,0.5729
5378,Böblingen,38,1,0.2009
5379,Böblingen,100,4,0.1947
5380,Böblingen,100,2,0.2506
5381,Böblingen,100,3,0.0753
5382,Böblingen,100,1,0.5419
5383,Böblingen,1,0,0.8004
5384,Böblingen,9,0,0.3631
5385,Böblingen,11,0,0.5561
5386,Böblingen,6,0,0.6736
5387,Böblingen,38,0,0.3246
5388,Böblingen,1,4,0.2609
5389,Böblingen,9,4,0.1017
5390,Böblingen,11,4,0.146
5391,Böblingen,6,4,0.1951
5392,Böblingen,38,4,0.0913
5393,Böblingen,1,2,0.288
5394,Böblingen,9,2,0.1668
5395,Böblingen,11,2,0.2281
5396,Böblingen,6,2,0.2904
5397,Böblingen,38,2,0.1769
5398,Böblingen,1,3,0.0945
5399,Böblingen,9,3,0.043
5400,Esslingen,100,0,0.654
5401,Esslingen,100,4,0.204
5402,Esslingen,100,2,0.3835
5403,Esslingen,100,3,0.1264
5404,Esslingen,100,1,0.5323
5405,Esslingen,38,0,0.3249
5406,Esslingen,9,0,0.3935
5407,Esslingen,11,0,0.5926
5408,Esslingen,1,0,0.8219
5409,Esslingen,6,0,0.699
5410,Esslingen,38,4,0.0787
5411,Esslingen,9,4,0.11
5412,Esslingen,11,4,0.1551
5413,Esslingen,1,4,0.2828
5414,Esslingen,6,4,0.207
5415,Esslingen,38,2,0.1953
5416,Esslingen,9,2,0.225
5417,Esslingen,11,2,0.3415
5418,Esslingen,1,2,0.4827
5419,Esslingen,6,2,0.4199
5420,Esslingen,38,3,0.0329
5421,Esslingen,9,3,0.0619
5422,Esslingen,11,3,0.0972
5423,Esslingen,1,3,0.1743
5424,Esslingen,6,3,0.1413
5425,Esslingen,38,1,0.1973
5426,Esslingen,9,1,0.2763
5427,Esslingen,11,1,0.4157
5428,Esslingen,1,1,0.7274
5429,Esslingen,6,1,0.5688
5430,Göppingen,100,0,0.7623
5431,Göppingen,100,4,0.2798
5432,Göppingen,100,2,0.4282
5433,Göppingen,100,3,0.1665
5434,Göppingen,100,1,0.6704
5435,Göppingen,38,0,0.3064
5436,Göppingen,6,0,0.7469
5437,Göppingen,11,0,0.6409
5438,Göppingen,1,0,0.8742
5439,Göppingen,9,0,0.4404
5440,Göppingen,38,4,0.0963
5441,Göppingen,6,4,0.2567
5442,Göppingen,11,4,0.1726
5443,Göppingen,1,4,0.3439
5444,Göppingen,9,4,0.1345
5445,Göppingen,38,2,0.167
5446,Göppingen,6,2,0.4287
5447,Göppingen,11,2,0.3527
5448,Göppingen,1,2,0.4914
5449,Göppingen,9,2,0.2485
5450,Göppingen,38,3,0.0366
5451,Göppingen,6,3,0.1731
5452,Göppingen,11,3,0.1049
5453,Göppingen,1,3,0.2032
5454,Göppingen,9,3,0.074
5455,Göppingen,38,1,0.1996
5456,Göppingen,6,1,0.6515
5457,Göppingen,11,1,0.4634
5458,Göppingen,1,1,0.8092
5459,Göppingen,9,1,0.317
5460,Ludwigsburg,100,0,0.6433
5461,Ludwigsburg,100,4,0.1957
5462,Ludwigsburg,100,2,0.3399
5463,Ludwigsburg,100,3,0.0945
5464,Ludwigsburg,100,1,0.5344
5465,Ludwigsburg,11,0,0.5852
5466,Ludwigsburg,1,0,0.808
5467,Ludwigsburg,9,0,0.3976
5468,Ludwigsburg,6,0,0.6932
5469,Ludwigsburg,38,0,0.3189
5470,Ludwigsburg,11,4,0.1488
5471,Ludwigsburg,1,4,0.2656
5472,Ludwigsburg,9,4,0.1111
5473,Ludwigsburg,6,4,0.2053
5474,Ludwigsburg,38,4,0.0832
5475,Ludwigsburg,11,2,0.302
5476,Ludwigsburg,1,2,0.4244
5477,Ludwigsburg,9,2,0.2021
5478,Ludwigsburg,6,2,0.3893
5479,Ludwigsburg,38,2,0.1838
5480,Ludwigsburg,11,3,0.0738
5481,Ludwigsburg,1,3,0.1282
5482,Ludwigsburg,9,3,0.0482
5483,Ludwigsburg,6,3,0.1105
5484,Ludwigsburg,38,3,0.0274
5485,Ludwigsburg,11,1,0.4334
5486,Ludwigsburg,1,1,0.7202
5487,Ludwigsburg,9,1,0.2972
5488,Ludwigsburg,6,1,0.5654
5489,Ludwigsburg,38,1,0.1965
5490,Rems-Murr-Kreis,9,2,0.2336
5491,Rems-Murr-Kreis,38,2,0.185
5492,Rems-Murr-Kreis,1,3,0.2104
5493,Rems-Murr-Kreis,11,3,0.0921
5494,Rems-Murr-Kreis,6,3,0.1355
5495,Rems-Murr-Kreis,9,3,0.0569
5496,Rems-Murr-Kreis,38,3,0.0256
5497,Rems-Murr-Kreis,1,1,0.7216
5498,Rems-Murr-Kreis,11,1,0.4041
5499,Rems-Murr-Kreis,6,1,0.5369
5500,Rems-Murr-Kreis,9,1,0.2976
5501,Rems-Murr-Kreis,38,1,0.2064
5502,Rems-Murr-Kreis,100,0,0.7003
5503,Rems-Murr-Kreis,100,4,0.2433
5504,Rems-Murr-Kreis,100,2,0.4425
5505,Rems-Murr-Kreis,100,3,0.1572
5506,Rems-Murr-Kreis,100,1,0.5795
5507,Rems-Murr-Kreis,1,0,0.8246
5508,Rems-Murr-Kreis,11,0,0.5809
5509,Rems-Murr-Kreis,6,0,0.673
5510,Rems-Murr-Kreis,9,0,0.416
5511,Rems-Murr-Kreis,38,0,0.3221
5512,Rems-Murr-Kreis,1,4,0.3186
5513,Rems-Murr-Kreis,11,4,0.1515
5514,Rems-Murr-Kreis,6,4,0.2028
5515,Rems-Murr-Kreis,9,4,0.1114
5516,Rems-Murr-Kreis,38,4,0.0693
5517,Rems-Murr-Kreis,1,2,0.5347
5518,Rems-Murr-Kreis,11,2,0.3435
5519,Rems-Murr-Kreis,6,2,0.4245
5520,"Heilbronn, Kreisfreie Stadt",100,0,0.5842
5521,"Heilbronn, Kreisfreie Stadt",100,4,0.1707
5522,"Heilbronn, Kreisfreie Stadt",100,2,0.3075
5523,"Heilbronn, Kreisfreie Stadt",100,3,0.0769
5524,"Heilbronn, Kreisfreie Stadt",100,1,0.4714
5525,"Heilbronn, Kreisfreie Stadt",11,0,0.4624
5526,"Heilbronn, Kreisfreie Stadt",6,0,0.6701
5527,"Heilbronn, Kreisfreie Stadt",1,0,0.7814
5528,"Heilbronn, Kreisfreie Stadt",9,0,0.3586
5529,"Heilbronn, Kreisfreie Stadt",38,0,0.2707
5530,"Heilbronn, Kreisfreie Stadt",11,4,0.1228
5531,"Heilbronn, Kreisfreie Stadt",6,4,0.1903
5532,"Heilbronn, Kreisfreie Stadt",1,4,0.2396
5533,"Heilbronn, Kreisfreie Stadt",9,4,0.1026
5534,"Heilbronn, Kreisfreie Stadt",38,4,0.0727
5535,"Heilbronn, Kreisfreie Stadt",11,2,0.2556
5536,"Heilbronn, Kreisfreie Stadt",6,2,0.3787
5537,"Heilbronn, Kreisfreie Stadt",1,2,0.3903
5538,"Heilbronn, Kreisfreie Stadt",9,2,0.1891
5539,"Heilbronn, Kreisfreie Stadt",38,2,0.1589
5540,"Heilbronn, Kreisfreie Stadt",11,3,0.0547
5541,"Heilbronn, Kreisfreie Stadt",6,3,0.109
5542,"Heilbronn, Kreisfreie Stadt",1,3,0.1036
5543,"Heilbronn, Kreisfreie Stadt",9,3,0.0399
5544,"Heilbronn, Kreisfreie Stadt",38,3,0.0215
5545,"Heilbronn, Kreisfreie Stadt",11,1,0.3158
5546,"Heilbronn, Kreisfreie Stadt",6,1,0.5524
5547,"Heilbronn, Kreisfreie Stadt",1,1,0.6901
5548,"Heilbronn, Kreisfreie Stadt",9,1,0.2497
5549,"Heilbronn, Kreisfreie Stadt",38,1,0.1428
5550,Heilbronn,100,0,0.738
5551,Heilbronn,100,4,0.2871
5552,Heilbronn,100,2,0.4038
5553,Heilbronn,100,3,0.1629
5554,Heilbronn,100,1,0.6525
5555,Heilbronn,9,0,0.405
5556,Heilbronn,38,0,0.2775
5557,Heilbronn,1,0,0.8761
5558,Heilbronn,11,0,0.6183
5559,Heilbronn,6,0,0.7726
5560,Heilbronn,9,4,0.1109
5561,Heilbronn,38,4,0.0879
5562,Heilbronn,1,4,0.3704
5563,Heilbronn,11,4,0.1768
5564,Heilbronn,6,4,0.2895
5565,Heilbronn,9,2,0.1815
5566,Heilbronn,38,2,0.1459
5567,Heilbronn,1,2,0.4941
5568,Heilbronn,11,2,0.3109
5569,Heilbronn,6,2,0.4338
5570,Heilbronn,9,3,0.047
5571,Heilbronn,38,3,0.0336
5572,Heilbronn,1,3,0.2165
5573,Heilbronn,11,3,0.0911
5574,Heilbronn,6,3,0.1705
5575,Heilbronn,9,1,0.3124
5576,Heilbronn,38,1,0.1825
5577,Heilbronn,1,1,0.8135
5578,Heilbronn,11,1,0.4621
5579,Heilbronn,6,1,0.6634
5580,Hohenlohekreis,100,0,0.8075
5581,Hohenlohekreis,100,4,0.394
5582,Hohenlohekreis,100,2,0.4909
5583,Hohenlohekreis,100,3,0.2514
5584,Hohenlohekreis,100,1,0.7221
5585,Hohenlohekreis,11,0,0.6621
5586,Hohenlohekreis,6,0,0.7923
5587,Hohenlohekreis,9,0,0.4161
5588,Hohenlohekreis,1,0,0.8936
5589,Hohenlohekreis,38,0,0.3372
5590,Hohenlohekreis,11,4,0.2389
5591,Hohenlohekreis,6,4,0.3577
5592,Hohenlohekreis,9,4,0.1367
5593,Hohenlohekreis,1,4,0.4592
5594,Hohenlohekreis,38,4,0.1249
5595,Hohenlohekreis,11,2,0.3441
5596,Hohenlohekreis,6,2,0.4789
5597,Hohenlohekreis,9,2,0.2043
5598,Hohenlohekreis,1,2,0.5552
5599,Hohenlohekreis,38,2,0.2178
5600,Hohenlohekreis,11,3,0.1275
5601,Hohenlohekreis,6,3,0.2468
5602,Hohenlohekreis,9,3,0.0625
5603,Hohenlohekreis,1,3,0.2976
5604,Hohenlohekreis,38,3,0.0578
5605,Hohenlohekreis,11,1,0.4962
5606,Hohenlohekreis,6,1,0.6757
5607,Hohenlohekreis,9,1,0.3119
5608,Hohenlohekreis,1,1,0.8272
